customer_id,age,gender,city,product_category,purchase_amount,purchase_date,rating,discount_pct,returned,purchase_month,purchase_month_name,net_amount,age_group
CUST01097,35,Female,Jaipur,Books,2257.855,2023-10-09,4.5,20,False,10,Oct,1806.28,26–35
CUST00081,32,Male,Delhi,Grocery,254.19,2023-05-17,4.0,10,False,5,May,228.77,26–35
CUST01055,28,Male,Lucknow,Grocery,3452.22,2023-02-16,3.0,20,False,2,Feb,2761.78,26–35
CUST00281,36,Male,Chennai,Grocery,4007.57,2023-08-25,3.0,0,False,8,Aug,4007.57,36–45
CUST00144,37,Male,Jaipur,Clothing,1745.73,2023-07-15,4.0,0,False,7,Jul,1745.73,36–45
CUST00650,43,Male,Pune,Home & Kitchen,4998.13,2023-05-01,4.5,0,False,5,May,4998.13,36–45
CUST00862,18,Male,Kolkata,Home & Kitchen,1512.85,2023-07-27,4.0,15,False,7,Jul,1285.92,18–25
CUST00064,20,Female,Mumbai,Home & Kitchen,2630.83,2023-01-24,3.5,5,False,1,Jan,2499.29,18–25
CUST00727,35,Male,Chennai,Beauty,7516.03,2023-05-23,4.0,10,False,5,May,6764.43,26–35
CUST01038,18,Male,Pune,Electronics,2450.63,2023-10-28,3.5,15,False,10,Oct,2083.04,18–25
CUST00402,27,Female,Jaipur,Books,1422.99,2023-05-20,4.5,20,False,5,May,1138.39,26–35
CUST00616,36,Male,Hyderabad,Sports,4604.17,2023-08-26,4.5,20,False,8,Aug,3683.34,36–45
CUST00535,27,Male,Lucknow,Sports,2017.44,2023-03-05,4.0,30,False,3,Mar,1412.21,26–35
CUST00760,43,Male,Jaipur,Electronics,2399.73,2023-11-07,4.0,20,False,11,Nov,1919.78,36–45
CUST00598,23,Male,Pune,Electronics,1546.62,2023-11-19,3.5,0,False,11,Nov,1546.62,18–25
CUST00295,39,Non-binary,Kolkata,Beauty,1446.89,2023-09-06,4.0,25,False,9,Sep,1085.17,36–45
CUST00379,61,Female,Bangalore,Home & Kitchen,2218.06,2023-05-06,3.0,10,False,5,May,1996.25,55+
CUST00087,45,Female,Mumbai,Books,6549.34,2023-11-22,4.0,20,True,11,Nov,5239.47,36–45
CUST00058,31,Non-binary,Delhi,Beauty,1830.03,2023-11-13,1.0,25,False,11,Nov,1372.52,26–35
CUST00591,35,Female,Bangalore,Clothing,518.83,2023-01-24,4.0,30,False,1,Jan,363.18,26–35
CUST00807,37,Female,Jaipur,Sports,3218.14,2023-09-25,4.0,15,False,9,Sep,2735.42,36–45
CUST00108,37,Male,,Home & Kitchen,6909.88,2023-04-19,2.5,10,False,4,Apr,6218.89,36–45
CUST00530,24,Female,Hyderabad,Books,1500.23,2023-12-07,4.0,0,False,12,Dec,1500.23,18–25
CUST01133,54,Female,Bangalore,Grocery,1764.4,2023-03-16,3.5,0,False,3,Mar,1764.4,46–55
CUST00580,,,Hyderabad,Electronics,453.67,2023-11-21,4.0,15,False,11,Nov,385.62,
CUST00267,54,Male,Pune,Books,214.36,2023-02-20,4.5,0,False,2,Feb,214.36,46–55
CUST00110,34,Male,Jaipur,Books,911.5,2023-06-11,4.0,0,False,6,Jun,911.5,26–35
CUST00215,35,Male,Delhi,Grocery,258.08,2023-07-11,4.0,5,False,7,Jul,245.18,26–35
CUST00503,18,Female,Mumbai,Toys,1532.61,2023-05-16,1.0,10,False,5,May,1379.35,18–25
CUST00224,18,Male,Bangalore,Books,3842.99,2023-01-11,2.5,15,False,1,Jan,3266.54,18–25
CUST00384,28,Female,Ahmedabad,Sports,2060.9,2023-10-06,4.0,15,True,10,Oct,1751.76,26–35
CUST00746,26,Male,Delhi,Clothing,1817.14,2023-03-20,2.5,15,False,3,Mar,1544.57,26–35
CUST00344,28,Male,Bangalore,Home & Kitchen,1283.3,2023-11-14,3.5,15,False,11,Nov,1090.8,26–35
CUST00943,42,Female,Ahmedabad,Sports,841.42,2023-02-13,4.0,20,False,2,Feb,673.14,36–45
CUST01141,31,Male,Jaipur,Toys,1697.44,2023-08-01,3.0,10,False,8,Aug,1527.7,26–35
CUST00708,56,Male,Jaipur,Electronics,2120.25,2023-10-31,2.0,5,False,10,Oct,2014.24,55+
CUST00730,25,Male,Kolkata,Grocery,1764.4,2023-02-11,4.0,20,False,2,Feb,1411.52,18–25
CUST00526,18,Male,Bangalore,Books,5255.86,2023-04-11,3.5,20,False,4,Apr,4204.69,18–25
CUST01174,34,Female,Ahmedabad,Books,3821.93,2023-07-15,4.0,25,False,7,Jul,2866.45,26–35
